condition,case_id,project_name,size_group,size_label_ru,fr_count,nfr_count,repeat_id,run_status,schema_validity,fr_coverage,orphan_uc_rate,duplicate_uc_rate,trace_reference_integrity,trace_completeness,fr_activity_coverage,activity_structural_validity,mermaid_generation_success,end_to_end_success,repair_attempts,trace_manifest_validity,uc_element_trace_coverage,activity_element_trace_coverage,unsupported_trace_rate,blocking_error_classes,stability_multi_run,latency_ms,token_usage,cost_usd,actor_precision,actor_recall,actor_f1,uc_precision,uc_recall,uc_f1,milestone_precision,milestone_recall,milestone_f1,branch_precision,branch_recall,branch_f1,trace_precision,trace_recall,trace_f1,hallucination_rate,semantic_composite,metric_status,semantic_similarity_backend,llm_calls,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,use_case_count,user_story_count,system_story_count,activity_diagram_count,activity_node_count,activity_edge_count,trace_link_count,output_bytes,output_sha256,semantic_output_available,technical_failure,source_results,error_type,message
FULL,SCALE-014,Сквозная маркетинговая аналитика,G3_MEDIUM,средние,42,16,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,43,1.0,1.0,1.0,0.0035294117647058825,0,,547848.979,,,0.5555555555555556,1.0,0.7142857142857143,1.0,1.0,1.0,0.30851063829787234,0.6590909090909091,0.4202898550724638,0.0,1.0,0.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.4120603015075377,0.6574534161490684,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,130,450241,148267,598508,0.31299269999999946,42,39,42,42,243,204,850,706620,4b38b2bc9992b19af8b2ddfc443cec41d6c3c6451f05d8f32175077448f2be64,1,0,artifacts/size_scaling_runs/size-final-g3-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-015,Операционный портал коворкинга,G3_MEDIUM,средние,48,16,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,1.0,0.0,0,,597444.705,,,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.3391304347826087,0.8478260869565217,0.48447204968944096,0.35294117647058826,1.0,0.5217391304347826,1.0,1.0,1.0,0.388646288209607,0.7565217391304349,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,120,462702,176369,639071,0.35045340000000036,39,43,39,39,227,196,933,691202,62c767c4ed2fd70f1781620872dc3e97cf5a1b7d63c795dff9e349ce74e8a799,1,0,artifacts/size_scaling_runs/size-final-g3-b1-full-r1-2026-09-16/results.json,,
B1_ONESHOT,SCALE-016,Омниканальная служба поддержки,G4_LARGE,большие,54,18,1,failed,,,,,,,,,,0.0,,,,,,,,168195.236,,,,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,1.0,0.0,,,1,16024,65536,81560,0.0834504,,,,,,,,,,0,1,artifacts/size_scaling_runs/size-final-g4-b1-full-r1-2026-09-16/results.json,LLMOutputTruncatedError,LLM output was truncated at max_output_tokens=65536
B1_ONESHOT,SCALE-017,Портал управления недвижимостью,G4_LARGE,большие,59,17,1,failed,,,,,,,,,,0.0,,,,,,,,168430.904,,,,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,1.0,0.0,,,1,17384,65536,82920,0.08385839999999999,,,,,,,,,,0,1,artifacts/size_scaling_runs/size-final-g4-b1-full-r1-2026-09-16/results.json,LLMOutputTruncatedError,LLM output was truncated at max_output_tokens=65536
B1_ONESHOT,SCALE-018,Управление качеством производства,G4_LARGE,большие,64,18,1,failed,,,,,,,,,,0.0,,,,,,,,169308.006,,,,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,1.0,0.0,,,1,17869,65536,83405,0.08400389999999996,,,,,,,,,,0,1,artifacts/size_scaling_runs/size-final-g4-b1-full-r1-2026-09-16/results.json,LLMOutputTruncatedError,LLM output was truncated at max_output_tokens=65536
B1_ONESHOT,SCALE-019,Управление автопарком и доставками,G4_LARGE,большие,69,19,1,failed,,,,,,,,,,0.0,,,,,,,,167128.904,,,,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,1.0,0.0,,,1,19833,65536,85369,0.08459309999999998,,,,,,,,,,0,1,artifacts/size_scaling_runs/size-final-g4-b1-full-r1-2026-09-16/results.json,LLMOutputTruncatedError,LLM output was truncated at max_output_tokens=65536
B1_ONESHOT,SCALE-020,Управление сетью фитнес-клубов,G4_LARGE,большие,74,19,1,failed,,,,,,,,,,0.0,,,,,,,,166231.985,,,,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,1.0,0.0,,,1,20477,65536,86013,0.08478629999999998,,,,,,,,,,0,1,artifacts/size_scaling_runs/size-final-g4-b1-full-r1-2026-09-16/results.json,LLMOutputTruncatedError,LLM output was truncated at max_output_tokens=65536
FULL,SCALE-016,Омниканальная служба поддержки,G4_LARGE,большие,54,18,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,50,1.0,1.0,1.0,0.0,0,,766036.997,,,0.875,0.875,0.875,1.0,1.0,1.0,0.3049645390070922,0.6231884057971014,0.4095238095238095,0.08823529411764706,0.75,0.15789473684210525,1.0,1.0,1.0,0.45614035087719296,0.707315162907268,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,148,575443,233117,808560,0.45237329999999976,48,48,48,48,298,268,1167,881200,c5bac8e56bd30e474f71ab50ae60eab5103b6956f84be2fd6f319c926e687e8f,1,0,artifacts/size_scaling_runs/size-final-g4-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-017,Портал управления недвижимостью,G4_LARGE,большие,59,17,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,61,1.0,1.0,1.0,0.0,0,,886361.085,,,1.0,0.9090909090909091,0.9523809523809523,1.0,1.0,1.0,0.34814814814814815,0.734375,0.4723618090452262,0.08571428571428572,0.6666666666666666,0.1518987341772152,1.0,1.0,1.0,0.45645645645645644,0.7337324052450318,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,181,678143,256576,934719,0.5113340999999995,59,59,59,59,422,392,1502,1177355,75fa40d781afad3fa6fc4a6dd78ed849bbdf226931be30779e100587873c510c,1,0,artifacts/size_scaling_runs/size-final-g4-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-018,Управление качеством производства,G4_LARGE,большие,64,18,1,failed,0.0,1.0,0.0,0.0,1.0,1.0,0.859375,0.9772727272727273,0.9772727272727273,0.0,47,1.0,1.0,1.0,0.003484320557491289,4,,548476.745,,,1.0,0.8461538461538461,0.9166666666666666,1.0,1.0,1.0,0.3333333333333333,0.3709677419354839,0.3511450381679389,0.16666666666666666,0.125,0.14285714285714288,0.953125,0.953125,0.953125,0.2660098522167488,0.6873398309705561,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,139,459201,154678,613879,0.32337389999999955,53,40,53,44,239,198,861,765448,0233c62a4ac04b39b392a67a07c2dafbb05133b16f5943cbc924c6c0469a9c17,1,0,artifacts/size_scaling_runs/size-final-g4-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-019,Управление автопарком и доставками,G4_LARGE,большие,69,19,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,1.0,0.007259528130671506,0,,753053.398,,,0.8333333333333334,0.9090909090909091,0.8695652173913043,1.0,1.0,1.0,0.3333333333333333,0.4696969696969697,0.389937106918239,0.18181818181818182,0.2,0.1904761904761905,0.9420289855072463,0.9420289855072463,0.9420289855072463,0.3168724279835391,0.6948962850111333,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,182,619639,213544,833183,0.44214449999999794,58,58,58,58,331,283,1102,984534,b1a2be605d1ce832bdcdd4968925d8cc89876ce1e11e7d21dda5c2e250a178a3,1,0,artifacts/size_scaling_runs/size-final-g4-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-020,Управление сетью фитнес-клубов,G4_LARGE,большие,74,19,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,63,1.0,1.0,1.0,0.0009174311926605505,0,,685208.083,,,0.8571428571428571,0.75,0.7999999999999999,1.0,1.0,1.0,0.33043478260869563,0.4810126582278481,0.3917525773195876,0.625,0.23809523809523808,0.3448275862068965,1.0,1.0,1.0,0.30451127819548873,0.7196622822609313,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,191,583321,180382,763703,0.39145470000000326,62,56,62,62,288,232,1090,914769,a3319e4531700ffc4e847922f94ed2d3b35398042d8b17c255c0ea8fa54ab4e8,1,0,artifacts/size_scaling_runs/size-final-g4-b1-full-r1-2026-09-16/results.json,,
